우편번호,주소,도로거리(km),최단거리(km),최장거리(km)
25817,강원특별자치도 동해시 대동로 41,264.66,105.32,321.83
25813,강원특별자치도 동해시 오일장2길 10,264.17,105.32,321.83
25790,강원특별자치도 동해시 갯목길 144,265.18,105.32,321.83
25791,강원특별자치도 동해시 구미1길 33,264.25,105.32,321.83
25793,강원특별자치도 동해시 대동로 74,266.25,105.32,321.83
25798,강원특별자치도 동해시 공단1로 177,267.02,105.32,321.83
25799,강원특별자치도 동해시 공단3로 68,265.63,105.32,321.83
25797,강원특별자치도 동해시 공단9로 156,266.31,105.32,321.83
25794,강원특별자치도 동해시 공단12로 20,265.24,105.32,321.83
25796,강원특별자치도 동해시 공단9로 113,265.99,105.32,321.83
25795,강원특별자치도 동해시 공단12로 77,265.57,105.32,321.83
25818,강원특별자치도 동해시 귀운길 100,265.61,105.32,321.83
25811,강원특별자치도 동해시 나안2길 32,264.25,105.32,321.83
25810,강원특별자치도 동해시 나안1길 9,262.98,105.32,321.83
25808,강원특별자치도 동해시 청운1길 55,262.8,105.32,321.83
25812,강원특별자치도 동해시 동해대로 4898,264.31,105.32,321.83
25822,강원특별자치도 동해시 내동길 137,268.25,105.32,321.83
25821,강원특별자치도 동해시 봉정2길 5,264.68,105.32,321.83
25820,강원특별자치도 동해시 강원남부로 4609,265.9,105.32,321.83
25814,강원특별자치도 동해시 구미택지1길 59,265.11,105.32,321.83
25816,강원특별자치도 동해시 동해대로 4746,264.91,105.32,321.83
25743,강원특별자치도 동해시 달방길 283,272.55,105.32,321.83
25708,강원특별자치도 동해시 일출로 385,253.68,105.32,321.83
25707,강원특별자치도 동해시 대진항길 27,253.22,105.32,321.83
25803,강원특별자치도 동해시 동회길 88,263.8,105.32,321.83
25806,강원특별자치도 동해시 효자남길 64,262.1,105.32,321.83
25807,강원특별자치도 동해시 효자남길 29,262.53,105.32,321.83
25805,강원특별자치도 동해시 청운로 113,262.74,105.32,321.83
25704,강원특별자치도 동해시 신계길 5,255.75,105.32,321.83
25700,강원특별자치도 동해시 동해대로 6218,253.33,105.32,321.83
25701,강원특별자치도 동해시 석두골길 28,249.89,105.32,321.83
25705,강원특별자치도 동해시 동해대로 6121,251.95,105.32,321.83
25717,강원특별자치도 동해시 일출로 83,256.12,105.32,321.83
25711,강원특별자치도 동해시 덕장1길 36,256.45,105.32,321.83
25718,강원특별자치도 동해시 일출로 92,256.26,105.32,321.83
25716,강원특별자치도 동해시 산제골1길 35,255.48,105.32,321.83
25709,강원특별자치도 동해시 도째비길 22,256.9,105.32,321.83
25710,강원특별자치도 동해시 해맞이길 229,256.26,105.32,321.83
25715,강원특별자치도 동해시 동문산길 2,255.66,105.32,321.83
25721,강원특별자치도 동해시 발한로 167,255.69,105.32,321.83
25727,강원특별자치도 동해시 해안로 511,255.59,105.32,321.83
25720,강원특별자치도 동해시 시장안길 8,258.47,105.32,321.83
25725,강원특별자치도 동해시 발한로 146,256.62,105.32,321.83
25722,강원특별자치도 동해시 발한로 159,255.76,105.32,321.83
25731,강원특별자치도 동해시 발한로 82,257.24,105.32,321.83
25724,강원특별자치도 동해시 발한로 105,256.42,105.32,321.83
25728,강원특별자치도 동해시 임항로 99,257.04,105.32,321.83
25732,강원특별자치도 동해시 수원지2길 3,256.68,105.32,321.83
25740,강원특별자치도 동해시 동해대로 5705,255.22,105.32,321.83
25723,강원특별자치도 동해시 발한천길 53,254.82,105.32,321.83
25726,강원특별자치도 동해시 향로3길 43,256.19,105.32,321.83
25713,강원특별자치도 동해시 해안로 635,254.37,105.32,321.83
25714,강원특별자치도 동해시 발한로 279,254.82,105.32,321.83
25719,강원특별자치도 동해시 발한로 218,255.73,105.32,321.83
25729,강원특별자치도 동해시 부두길 2,256.93,105.32,321.83
25706,강원특별자치도 동해시 큰발한길 13,254.83,105.32,321.83
25712,강원특별자치도 동해시 발한로 384,253.71,105.32,321.83
25733,강원특별자치도 동해시 가마골길 20,262.94,105.32,321.83
25741,강원특별자치도 동해시 승지로 243,259.98,105.32,321.83
25735,강원특별자치도 동해시 부곡3길 19,256.81,105.32,321.83
25736,강원특별자치도 동해시 부곡5길 34,256.66,105.32,321.83
25734,강원특별자치도 동해시 부곡복개로 19,257.01,105.32,321.83
25730,강원특별자치도 동해시 전망대길 4,256.57,105.32,321.83
25738,강원특별자치도 동해시 발한로 28,262.68,105.32,321.83
25815,강원특별자치도 동해시 전천로 217,263.79,105.32,321.83
25742,강원특별자치도 동해시 비천길 295,272.65,105.32,321.83
